desirable_neg,desirable_pos,undesirable_neg,undesirable_pos
0.76,0.93,0.84,0.91
0.56,0.87,0.65,0.86
0.65,0.85,0.6,0.85
0.29,0.7,0.34,0.61
0.49,0.85,0.61,0.86
0.42,0.75,0.44,0.78
0.61,0.78,0.67,0.66
0.53,0.7,0.59,0.73
0.54,0.68,0.58,0.79
0.52,0.78,0.52,0.73
0.64,0.77,0.66,0.78
0.45,0.74,0.46,0.81
0.41,0.88,0.49,0.82
0.59,0.68,0.65,0.69
0.55,0.74,0.5,0.58
0.56,0.7,0.5,0.8
0.53,0.7,0.63,0.66
0.59,0.94,0.58,0.94
0.38,0.85,0.53,0.88
0.69,0.7,0.71,0.72
0.42,0.54,0.62,0.58
0.52,0.84,0.44,0.87
0.47,0.56,0.5,0.46
0.58,0.78,0.57,0.74
0.44,0.56,0.42,0.62
0.6,0.77,0.6,0.71
0.4,0.84,0.42,0.8
0.57,0.65,0.61,0.69
0.45,0.71,0.56,0.76
0.55,0.9,0.65,0.78
0.57,0.81,0.66,0.75